answer_id,answer_body,answer_vote,question_id
2184204,"
Some of the reasons why you may want to provide a custom sorting function are:

You are using a little-endian system (such as x86) and you are using integers as your database's keys. Berkeley DB stores keys as byte strings and little-endian integers do not sort well when viewed as byte strings. There are several solutions to this problem, one being to provide a custom comparison function. See http://www.oracle.com/technology/documentation/berkeley-db/db/ref/am_misc/faq.html for more information.

You set a BTree's key  comparison function  using DB->set_bt_compare().  
For example, an example routine that is used to sort integer keys in the database is:
",4,1572427
1572568,"
I think you have to create a secondary index for your data.  
I had tried Sleeping Cat Berkeley Database (due to code maintenance) but I did not try secondary indices.
If perfomance isn't so critical and you can switch database engine, I recommend SQLite :-)
",0,1572427
1557636,"
Similar to ltcmelo's example, but if the objects themselves don't contain the counter:
If your counter is an external variable like that though it won't affect the ordering (at least if it's positive - thanks onebyone!) - so this may in fact not be necessary at all (or maybe I misunderstand what you're after?). It's a useful technique in other cases though.
",4,1557570
1557641,"
Create a functor, and store the extra value in the functor object:
",1,1557570
1557603,"
Just create an function-object, a class/struct with an overload of operator() that does the right thing for you. In this case, taking into consideration the extra variables. Then, you pass an instance of it to the sort method.
EDIT: I just noticed that you have a list of pointers so I changed a bit the struct.
",0,1557570
1541909,"
This may be unrelated to your segmentation fault, but...
In C++, your ""compare"" predicate must be a strict weak ordering.  In particular, ""compare(X,X)""
must return ""false"" for any X.  In your compare function, if both pairs are identical, you hit the test (p1.first <= p2.first) , and return ""true"".  Therefore, this ""compare"" predicate does not impose a strict weak ordering, and the result of passing it to ""sort"" is undefined.
",42,1541817
1541832,"
Try using all the values from n = 32766 up to 32770. I suspect you'll find that you are experiencing some sort of overflow. This is because 2^15 (32768) is the biggest number that can be represented using 16 bits (assuming you also allow negative numbers). You will have to use a different data type.
Suggestion:
Get it to output the vector's maxsize:
Let us know what that does. All things being normal, I'd expect it to be in the hundreds of millions (536870911 on my computer). But if it's more like 32768, then that could be the problem.
",3,1541817
52735565,"
C++ acts weird sometimes. I got Segmentation fault in basic_string.h file! I was upgrading my code base to GCC 5.4.0 from GCC 4.2.1 and suddenly this SEG FAULT occurred and I was wondering why the same code was working earlier and now it is breaking inside C++ own STL. Then I looked up the back trace and found that it was coming from std::sort for vector of pointers, which was using custom comparator to compare the pointers on the basis of fetching the object's name by member function ptr->GetName(). This GetName() was returning a string.
I spent a whole day on figuring out what maybe the change in basic_string file to cause this fault. Then I got to know about this ""Strict Weak Ordering"" thing and I changed my comparator function accordingly. Still no luck.
Then I tweaked around and changed the original comparator function to a Functor. And now, it worked. I don't know exactly the reason behind it but it worked.
Here is my original comparator function : 
And here is the new Function Object.
Same logic, but it works with Function Object.
",-2,1541817
1453758,"
That's called alphanumeric sorting.
Check out this link: The Alphanum Algorithm
",5,1453725
1786422,"
i think u can use a pair object and then make vector > and then sort this vector.
Pairs are compared based on their first elements. So, this way you can get the sort you desire.
",0,1453725
1437853,"
You can use std::sort with a function (or functor object) that provides a strict weak ordering for vectors.  I.e. you define a vector-less-than function that orders two vectors correctly, something like this (off the top of my head).
Edit: after comments, added checking for one or two empty vectors, which does make things trickier.
",7,1437816
1437845,"
Use a simple std::sort and pass a functor that compares only the vector's last elements.

Partial_sort rearranges the elements in the range [first, last) so that they are partially in ascending order. Specifically, it places the smallest middle - first elements, sorted in ascending order, into the range [first, middle). The remaining last - middle elements are placed, in an unspecified order, into the range [middle, last).

",6,1437816
1437847,"
You can pass along a comparator as the fourth argument to std::partial_sort or std::sort, so just write a function object with a call operator taking two vector arguments that compare your vectors the way you want to.
",2,1437816
1434438,"
You need iterators into your array and some sorting criterion. Let's start with the iterators: 
You will need a begin iterator and an end iterator. The begin iterator needs to point to the first element, the end iterator needs to point behind the last element. Pointers are perfect iterators. An array is implicitly convertible into a pointer to its first element, so you have a begin iterator. Add the number of elements in the array to it and you have an end iterator. The number of elements in the array can be obtained by dividing the size (number of bytes) of the array by the size of a single element. Putting it all together: 
Now you need something for the algorithm to decide which of two given objects of your class is the smaller one. An easy way to do this would be by overloading operator< for your class: 
Now you can sort your array: 
If the sorting criterion isn't as fix (say, sometimes you want to sort based on foo's bar data, sometimes based on its wrgly data), you can pass different sorting criteria to the sort algorithm as an optional third parameter. Sorting criteria should be function-like entities. That can be functions or function objects. The latter provide inlining, which is why they are usually better. Here's both: 
This is how you use them: 
You can also create the comparator on the fly: 
Edit: Here's a few more hints based on your expanded question: 
sortContainer * sortList = new sortContiner [length]; will create a dynamic array on the heap. In C++, there is no garbage collection and you are responsible for cleaning up on the heap after yourself (in this case by invoking delete[] sortList;). This is notoriously hard to do for novices and error-prone even for seasoned programmers. There's a very good chance that what you want is an automatic array: sortContainer sortList[length]; on the stack. 
The identifier sortContainer tells me that the thing is a container. However, it's the type of the items to be put into the container. Be more careful by picking identifiers. Proper naming goes a long way towards readable and maintainable code. 
",5,1434343
1434370,"
You can put the objects in container ( say, std::vector) and write a functor and use the same in stable_sort.
Edit: 
Using arrays ( as @sbi and @wrang-wrang suggested):
OR write operator < for your class and straight way call stable_sort
",4,1434343
1434446,"
Here's the declaration of stable_sort():
You have to use the second overload and provide you own comparison functor. Something along the lines:
It could also be a free function - anything that you can apply () to, like:
Then you sorting statement would be:
Note that objects of your type have to freely copyable.
Look here for details.
",2,1434343
1434388,"
You must write your own predicate and pass it to the standard algorithm.
",1,1434343
1434522,"
As a complement to the other answers: The predicate can be created on the fly with boost (or tr1) bind. For example, to sort by the ""key"" member:
",1,1434343
