question_id,question_title,question_body,question_vote
1572427,Problem with Berkeley DB and C++,"
I'm trying to write a simple C++ program that uses Berkeley DB for storage. The key of the database is of type time_t and the data is an integer.
I need to take the difference between two adjacent data in a between two key. I open a cursor with the flag DB_SET_RANGE and then i use DB_NEXT to iterate.
My problem is that the cursor returns unsorted data. Is there a way to specify a custom sorter function for the cursor?
",0
1557570,How can I sort a list when the sorting criterion requires an extra variable? C++,"
this is for an assignment so I will be deliberately general. My question is related to implementation decisions I already made--maybe they weren't good ones.
I have a list of pointers to structs, e.g. list<MyStruct*> bob; At one point I've needed to sort these pointers by one of the data members of their targets and I was able to do that easily with
And then calling bob.sort(sortbyarrival); Works great.
Now somewhere else I need to sort by a different criterion, which involves a counter in the program. I need something like return counter*a->arrival < counter*b->arrival; But the way I just described is the only way I know how to do a sort, I think, and I don't know how to pass my counter as an additional argument. How can I sort this list of pointers?
ETA: The counter is just a variable in main. So ideally I could call something like bob.sort(sortbyratio, counter); or sort(bob.begin(), bob.end(), sortbyratio, counter); 
",1
1541817,sort function C++ segmentation fault,"
In this code, for vector size, n >=32767, it gives segmentation fault, but upto 32766, it runs fine. What could be the error? This is full code.
",12
1453725,Sorting names with numbers correctly,"
For sorting item names, I want to support numbers correctly. i.e. this:
instead of 
Does anyone know of a comparison functor that already supports that?
(i.e. a predicate that can be passed to std::sort)
I basically have two patterns to support: Leading number (as above), and number at end, similar to explorer:
(I guess I could work that out: compare by character, and treat numeric values differently. However, that would probably break unicode collaiton and whatnot)
",3
1437816,Sort vectors by last elements,"
Have a ""vector of vectors""
that looks something like this
I would like to sort them according to the last element in every row so that it would look like this in the end
Of course my real example is a lot more complex... but this is basically what I need to get done.
Right now I use this snippet which seems to sort according to the first elements.
",0
1434343,How do i sort objects?,"
I've created a class and created an array of objects under that class and filled it all up with data. Now i want to sort the entire array by a specific member of that class, how do I do this using the stable_sort() function?
Edit: Ok, i have this right now, 
I've declared the array like this:
Now i want want to sort it by the sortList .position member using stable_sort() like this:
What is the comparator function supposed to look like?
",1
1412751,Find largest and second largest element in a range,"
How do I find the above without removing the largest element and searching again? Is there a more efficient way to do this? It does not matter if the these elements are duplicates.
",6
1382273,Sorting a Doubly Linked List C++,"
Trying to do it through a loop that traverses through the list.
In the loop I'm feeding the head node into a sorting function that I have defined and then I'm using strcmp to find out if which name in the node should come first. 
It is not working because writing the names too early. 
Im comparing them all linearly by going down the list one node at a time and not going back to see if the first should come before the last. That part explained would be helpful.
The two functions that are most important to me now are defined as follows:
I have tried my best to do what I think is right for the sorting function.
And I started to develop my nodes here:
I think its correct in that function above. Could I possibly get away with sorting it there?
Below are my varaibles that I am working with:
Any help is appreciated.
Thanks very much =)
",1
1380463,Sorting a vector of custom objects,"
How does one go about sorting a vector containing custom (i.e. user defined) objects.
Probably, standard STL algorithm sort along with a predicate (a function or a function object) which would operate on one of the fields (as a key for sorting) in the custom object should be used.
Am I on the right track?
",210
1367429,Sorting a std::map by value before output & destroy,"
I'm aware that map is not prepared to be sorted. It's heavily optimized for fast and random key access and actually doesn't support std::sort.
My current problem is that I've a full map<std::string,int> which I'm not going to use anymore. I just need to extract 10 pairs in value(int) order and destroy it.
The best thing, if it was possible, would be to sort it in place and then iterate it 10 times, but that apparently is not a solution.
I'm trying different solutions as going through a multimap<int,string> (to allow duplicate keys), but I'd like to know if there is a more elegant solution, using stl algorithms as much as posible.
EDIT:
I'm using a map because for the 99% of the time, I need it as a map: fast key lookups to increase values. Just need a good way of later extracting in value order when I don't need the map anymore.
Current approach whould be:

std::copy the map(std::string,int) to a vector(pair(std::string,int))
sort the vector
get the first 10 values
destroy vector and map

",10
1300327,Sort function does not work with function object created on stack?,"
why is obj2 in second sort function leads to compiler error.
",0
1292511,Using stable_sort() to sort doubles as ints,"
I have a huge array of ints that I need to sort. The catch here is that each entry in the list has a number of other associated elements in it that need to follow that int around as it gets sorted. I've kind of solved this problem by changing the sorting to sort doubles instead of ints. I've tagged each number before it was sorted with a fractional part denoting that value's original location before the sort, thus allowing me to reference it's associated data and allowing me to efficiently rebuild the sorted list with all the associated elements.
My problem is that I want to sort the double values by ints using the function stable_sort(). 
I'm referring to this web page: http://www.cplusplus.com/reference/algorithm/stable_sort/
However, since I'm a new programmer, i don't quite understand how they managed to get the sort by ints to work. What exactly am i supposed to put into that third argument to make the function work? (i know i can just copy and paste it and make it work, but i want to learn and understand this too).
Thanks, 
-Faken
Edit: Please note that I'm a new programmer who has had no formal programming training. I'm learning as i go so please keep your explanations as simple and as rudimentary as possible.
In short, please treat me as if i have never seen c++ code before.
",0
1271367,Radix Sort implemented in C++,"
I am trying to improve my C++ by creating a program that will take a large amount of numbers between 1 and 10^6. The buckets that will store the numbers in each pass is an array of nodes (where node is a struct I created containing a value and a next node attribute). 
After sorting the numbers into buckets according to the least significant value, I have the end of one bucket point to the beginning of another bucket (so that I can quickly get the numbers being stored without disrupting the order). My code has no errors (either compile or runtime), but I've hit a wall regarding how I am going to solve the remaining 6 iterations (since I know the range of numbers). 
The problem that I'm having is that initially the numbers were supplied to the radixSort function in the form of a int array. After the first iteration of the sorting, the numbers are now stored in the array of structs. Is there any way that I could rework my code so that I have just one for loop for the 7 iterations, or will I need one for loop that will run once, and another loop below it that will run 6 times before returning the completely sorted list?
",8
1248774,External sorting of ints with O(N log N) reads and O(N) writes,"
I'm interested in algorithm which I should use to meet the requirements of external sorting of ints with O(N log N) reads and O(N) writes
",1
1238191,SORT Integer Array TAG a STRUCTURE Array (or two),"
So the idea is to sort a large STRUCTURE using an element of that structure, for arguments sake Zip Code.
To keep it simple lets pretend that there are two arrays, one integer containing the zip codes and two, a larger structure (3k Bytes) array. 
Sorting the integer array is suitably fast with Quick Sort, but tagging the Structure array could be done a little better than simply swapping elements when the integer array swaps elements.
In testing a random 3000 element integer array required 12000 swaps to achieve a completed sort. Swapping the entire structure that many times would have a performance penalty esp if there are many elements.
Ideally I would just sort an array of pointers, but in this case I actually have to return a sorted structure array not an array of sorted pointers. If nothing else this is an exercise in sorting a tagged array.
One approach would be to tag a secondary integer array, and then use the order within it to shuffle the elements of the structure around, thus moving each element only once.
I am not finding much help on the web
http://rosettacode.org/wiki/Sorting_an_Array_of_Integers#C
Suggestions for an elegant design would be appreciated.
",1
1230428,std::sort and binary '=' operator issue with a C++ struct,"
Ok... I have this struct and comparison function-
I have a vector declared as...
Finally, I try to sort using the < operator...
and I get the following error in Visual Studio 2005...
The question is in the first line of the error.  I get this error whether I use the overloaded < operator, or pass the comparison function to the std::sort function.  The Edge structure's default assignment operator should suffice, I would think, because there is no dynamically allocated memory.  If anyone has any insight I would be grateful. 
full code...
Here is the code... 
",2
1208766,quicksort in C++ is slow,"
I have 9 values in the form of a matrix and need to compute the median from these values as part of a simulation process. 
I use quicksort in C++ (i.e qsort()) which results in the process running slow (as this process iterates several times). 
Is there a better sorting algorithm that I could use? 
",1
1196000,How to keep items sorted based on dynamic attribute?,"
I'm using an STL std::multiset<> as a sorted list of pointers.  The sort order is determined by a property of the items being pointed to, something along the lines of this simplified example:
The complication is that the values of the property used to sort the set can change (you can change A.x in the example above), which can make the sort order incorrect:
I'm able to keep the list sorted by erasing and reinserting elements when the relevant attribute changes, but the book keeping is getting to be a bit of a pain.  I feel like I'm going about this all wrong.  Can anyone suggest a better way to keep a list sorted when the sort order can dynamically change?  The changes occur in predictable ways at predictable times, but my current approach just feels wrong.
",4
1171365,Should use an insertion sort or construct a heap to improve performance?,"
We have large (100,000+ elements) ordered vectors of structs (operator < overloaded to provide ordering):
My problem is that we're seeing performance problems when adding new elements to these vectors while preserving sort order.  At the moment we're doing something like:
This isn't exactly what our code looks like since I know this example could be optimised in different ways, however it gives you an idea of how performance could be a problem because I'm sorting after every push_back.
I think I essentially have two options to improve performance:

Use a (hand crafted?) insertion sort instead of std::sort to improve the sort performance (insertion sorts on a partially sorted vector are blindingly quick)
Create a heap by using std::make_heap and std::push_heap to maintain the sort order

My questions are:

Should I implement an insertion sort?  Is there something in Boost that could help me here?
Should I consider using a heap?  How would I do this?


Edit:
Thanks for all your responses.  I understand that the example I gave was far from optimal and it doesn't fully represent what I have in my code right now.  It was simply there to illustrate the performance bottleneck I was experiencing - perhaps that's why this question isn't seeing many up-votes :)
Many thanks to you Steve, it's often the simplest answers that are the best, and perhaps it was my over analysis of the problem that blinded me to perhaps the most obvious solution.  I do like the neat method you outlined to insert directly into a pre-ordered vector.
As I've commented, I'm constrained to using vectors right now, so std::set, std::map, etc aren't an option.
",2
1132175,"Custom sorting, always force 0 to back of ascending order?","
Premise
This problem has a known solution (shown below actually), I'm just wondering if anyone has a more elegant algorithm or any other ideas/suggestions on how to make this more readable, efficient, or robust.
Background
I have a list of sports competitions that I need to sort in an array.  Due to the nature of this array's population, 95% of the time the list will be pre sorted, so I use an improved bubble sort algorithm to sort it (since it approaches O(n) with nearly sorted lists).  
The bubble sort has a helper function called CompareCompetitions that compares two competitions and returns >0 if comp1 is greater, <0 if comp2 is greater, 0 if the two are equal.  The competitions are compared first by a priority field, then by game start time, and then by Home Team Name.  
The priority field is the trick to this problem.  It is an int that holds a positve value or 0.  They are sorted with 1 being first, 2 being second, and so on with the exception that 0 or invalid values are always last.
e.g. the list of priorities
0, 0, 0, 2, 3, 1, 3, 0
would be sorted as 
1, 2, 3, 3, 0, 0, 0, 0
The other little quirk, and this is important to the question, is that 95% of the time, priority will be it's default 0, because it is only changed if the user wants to manually change the sort order, which is rarely.  So the most frequent case in the compare function is that priorities are equal and 0.
The Code
This is my existing compare algorithm.  
Question
How can this algorithm be improved?
And more importantly...
Is there a better way to force 0 to the back of the sort order?  
I want to emphasize that this code seems to work just fine, but I am wondering if there is a more elegant or efficient algorithm that anyone can suggest.  Remember that nPriority will almost always be 0, and the competitions will usually sort by start time or home team name, but priority must always override the other two.
",0
1129176,Sorting with two vectors,"
I'm wondering if it's possible if you have, for example, a vector<string> and a vector<double> with corresponding pairs, to sort the vector<string> alphabetically while keeping the pairs matched up.
I know this can be done by creating a class that holds both values and just sorting that, but I'd rather keep two separate vectors.
Any ideas?
Final Code:
",3
1104605,Need help with STL sort algorithm,"
I'm having some troubles with using the std::sort algorithm here. I was reading that you can just overload the less than operator to sort classes, but I have been getting all sorts of errors. I have also tried using a functor as you can see in the example I made below.
I was hoping somebody could see what I'm doing wrong here.
",1
1100671,Error in std::list::sort with custom comparator (expected primary-expression before ')' token),"
The title is the main question. The exact scenario (I am 'using namespace std;'):
This is the comparator definition:
Implementation of the comparator is intuitive and trivial. I am also using a very similar comparator in a std::set and it works fine. When I add the sortByOccurrence() funcion it gives me the error in the title.
What should I do?
EDIT: I'm now trying to pass Substring::OccurrenceComparator() as the comparator, and am getting the following error:
My code line is now:
I can't remove the template or it gives me an error saying that template parameters were wrong.
",1
1041620,What's the most efficient way to erase duplicates and sort a vector?,"
I need to take a C++ vector with potentially a lot of elements, erase duplicates, and sort it.
I currently have the below code, but it doesn't work.
How can I correctly do this?
Additionally, is it faster to erase the duplicates first (similar to coded above) or perform the sort first?  If I do perform the sort first, is it guaranteed to remain sorted after std::unique is executed?
Or is there another (perhaps more efficient) way to do all this?  
",234
933886,std::sort without functors,"
I have a question regarding the std::sort algorithm. Here is my test code:
Is it possible to sort the vector on the variable m_first without using any stand alone functions or functors? Also, please note that I am not using boost.
",0
891750,Partition sort programming problem,"
I need an algorithm to select the kth largest or smallest value. The values will be ints. My instructor told me to use a modified partition algorithm to find the kth largest or smallest value. Any thoughts? 
",3
886178,"Merging 8 sorted lists in c++, which algorithm should I use","
I have 8 sorted lists that I need to merge into 1 sorted list. I don't know the best way to do this. I was thinking of the following:
But would it be better to just worry about the sorting last?
Side note: I don't care that the lists are modified.
",5
878387,switch structures with structs and arrays?,"
I had an earlier question about organizing some inputs by name, ID, and then Amount. Now that I have figured out how to get them organized, I need to have 3 outputs; the first by name, the second by ID, and the last by amount. can i use case and switch statements? Every time i tried to, all three outputs were by name.
this is what i have so far:
how do i get the rest of the data in, so it will have the 2nd output by ID, and the 3rd output by Amount. I think you can add switch statements but when I tired, all three outputs were by the first set, which is by name. any help is appreciated. im not expecting anyone to solve it all for me, just a tip to point me to the right direction.
output example:
",0
873715,c++ sort with structs,"
I am having a hard time with this problem which requires a sort of customer names, customer ids, and finally amount due. I have the whole program figured, but cannot figure out the last prototype needed to do the sorting. i have a struct called Customers, and i will provide the int main() part also. I just need any help to gt started on the prototype SortData().
",14
864554,Sort a struct by last then first name,"
I have the algorithm for sort by last name, but I am having trouble figuring out how to sort by last name, then if two people have the same last name, sort by their first name.
=== EDIT ====================
I don't want to use STD sort()
",1
842407,How can I sort a singly linked list in constant space?,"
I have a singly linked list and I need to sort it in constant space due to memory limitations (in other words, no extra space should be used that is proportional to the number of items in the list).
The structure of the linked list is:

head.item = the payload you want to sort on; and
head.next = the next item.

The requirement for constant space discounts solutions where I build another list, I need to do it in-place.
How can I do that?
",1
810951,How big is the performance gap between std::sort and std::stable_sort in practice?,"
Both should run in O(n log n), but in general sort is faster than stable_sort. How big is the performance gap in practice? Do you have some experience about that?
I want to sort a very large number of structs that have a size of about 20 bytes. The stability of the result would be nice in my case, but it is not a must. At the moment the underlying container is a plain array, perhaps it could be changed to a std::deque later on.
",23
788080,Automatically sorting on insert in QTreeWidget,"
I have a QTreeWidget that I insert items in, and the user can select a column to sort it. As the items are being inserted, they just get appended to the end instead of having the sort being done automatically. If I click the header to switch between ascending/descending it will sort the current items.
I figured I could call sortItems() and use the column that is returned from sortColumn(), but I am unable to see how I can see if the user is doing an ascending or descending sort.
I'm not worried about the efficiency of this, so I don't want to wait until the insertions are done and then do the sort. I'd like a real-time sorted list.
Thanks!
",3
703503,Which STL container is best for std::sort? (Does it even matter?),"
The title speaks for itself .... 
Does choice of container affects the speed of the default std::sort algorithm somehow or not? For example, if I use list, does the sorting algorithm just switch the node pointers or does it switch the whole data in the nodes?
",14
688039,How can I build a std::vector<std::string> and then sort them?,"
I have a bunch of strings that I need to sort. I think a std::vector would be the easiest way to do this. However, I've never used vectors before and so would like some help.
I just need to sort them alphanumerically, nothing special. Indeed, the string::compare function would work.
After that, how can I iterate through them to verify that they're sorted?
Here's what I have so far:
",29
642213,How to implement a natural sort algorithm in c++?,"
I'm sorting strings that are comprised of text and numbers. 
I want the sort to sort the number parts as numbers, not alphanumeric.
For example I want: abc1def, ..., abc9def, abc10def
instead of: abc10def, abc1def, ..., abc9def  
Does anyone know an algorithm for this (in particular in c++)
Thanks
",16
609956,Is std::list<>::sort stable?,"
I couldn't find any definitive answer to this question. 
I suppose most implementation use merge sort that is stable but, is the stability a requirement or a side effect?
",11
583063,memcmp sort,"
I have a single buffer, and several pointers into it.  I want to sort the pointers based upon the bytes in the buffer they point at.
qsort() and stl::sort() can be given custom comparision functions.  For example, if the buffer was zero-terminated I could use strcmp:
however, if the buffer is not zero-terminated, I have to use memcmp() which requires a length parameter.
Is there a tidy, efficient way to get the length of the buffer into my comparision function without a global variable?
",0
