tag_name,tag_description,question_id
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1572427
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1572427
cursor,"
                DO NOT USE. This tag is ambiguous. For database cursors (that let you traverse records), use the [database-cursor] tag. For mouse cursors (onscreen pointer to let you know where the mouse is), use [text-cursor]. For text-cursors (blinking vertical bar to let you know where text will be input), use [caret].
            ",1572427
berkeley-db,"
                Berkeley DB is part of the Oracle Berkeley DB family of products. It is a C library that links into your application, enabling SQL, key-value pair (NoSQL) and Java object data persistence. It provides C, C++, C# and Java APIs and support for many scripting languages. It's designed to be small, highly performant, reliable, available and scalable.

            ",1572427
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1557570
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1557570
list,"
                The list tag may refer to: a linked list (an ordered set of nodes, each referencing its successor), or a form of dynamic array. Not to be used for HTML lists, use [html-lists] instead.
            ",1557570
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1541817
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1541817
segmentation-fault,"
                Segmentation faults occur when accessing memory which does not belong to your process. Use this tag along with a tag indicating the language and a tag indicating the operating system. Segmentation faults are typically the result of a dereference operation with pointer variables (most often containing an invalid address) or a buffer overflow. The root cause for an invalid pointer value may be far from the location generating the segmentation fault.
            ",1541817
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1453725
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1453725
predicate,"
                A Predicate is a method which represents a set of criteria and decides for a given object if these criteria are fulfilled or not. In computer languages a Predicate is expressed as a function which takes a single object as input parameter and returns a boolean value.
            ",1453725
string-comparison,"
                string-comparison is the action of comparing strings, resulting in a boolean or an integer indicating the ""distance"" between the strings.
            ",1453725
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1437816
vector,"
                A vector is a single-dimensional array: it contains components that can be accessed using an integral index. In some languages the size of a vector can grow or shrink as needed to accommodate adding and removing items after the Vector has been created. Use 'vector-graphics' for graphic display.
            ",1437816
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1437816
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1434343
class,"
                A template for creating new objects that describes the common state(s) and behavior(s). NOT TO BE CONFUSED WITH CSS CLASSES. Use [css] instead.
            ",1434343
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1434343
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1412751
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1412751
stl,"
                The Standard Template Library, or STL, is a C++ library of generic containers, iterators, algorithms, and function objects.

When C++ was standardised, large parts of the STL were adopted into the Standard Library, and these parts in the Standard Library are also sometimes erroneously referred to collectively as ""the STL"".
            ",1412751
ranking,"
                Ranking is the sorted order of an element in a list of elements. Usually a high ranking means the element is good in terms of certain metric. 
            ",1412751
visual-c++-2005,"
                The November 2005 release of Microsoft Visual C++, a C and C++ compiler for Windows, also known as the VC8 compiler.
            ",1412751
c++,"
                C++ is a general-purpose programming language. It was originally designed as an extension to C, and keeps a similar syntax, but is now a completely different language. Use this tag for questions about code (to be) compiled with a C++ compiler. Use a version specific tag for questions related to a specific  standard revision [C++11], [C++17], etc.
            ",1382273
sorting,"
                Sorting is the process of applying some order to a collection of items.
            ",1382273
